status	k	support	basis	dim	exact_quotient	matrix_sha256	artifact
exact	48	alpha=103/400,eta=97/400,full-simplex	even-B4	10	0.8584470016542125	f4f4e5d99aeaf035bda17af45edc1855f1e0000ac5a2f39f20a962c459f0abd2	results/aquarter_fullsimplex_k48_B4.json
exact	48	alpha=103/400,eta=97/400,full-simplex	even-B8	40	0.9337624627813782	db2992617da3a0f7e1e1f848356d997c61cca749b5aadce16e87a669e2be823c	results/aquarter_fullsimplex_k48_B8.json
exact	48	alpha=103/400,eta=97/400,full-simplex	no-ones-D8	67	0.9366148430706379	aa2e813cacad75ad4bbfffcc10edb6b3062a9faa8c0232e0fb8545a65095f954	results/aquarter_fullsimplex_k48_noones_D8.json
exact	48	alpha=103/400,eta=97/400,full-simplex	even-B12	120	0.9662589904055093	9d88a543eee334aee21d7c0bbe67eeb2bb150b5c881f039df62b7be0c5116c16	results/aquarter_fullsimplex_k48_B12.json
exact	48	alpha=103/400,eta=97/400,full-simplex	even-B14	195	0.9752059238904460	ec6d141cc89f98b64d1a77eb0f70df9b1144ca0539191dfdaacfa827fc542cb5	results/aquarter_fullsimplex_k48_B14.json
exact	48	alpha=1/4,eta=1/4,full-simplex	even-B12	120	0.9545708117394149	df3f069b162c05a611810e286be5e484eb1cf376e12c2a478d5a2fee53f876db	results/epszero_fullsimplex_k48_B12.json
exact	48	alpha=5103/20000,eta=4897/20000,full-simplex	even-B8	40	0.9356127028199803	599ab47529dbcb912c8bac0a364aea7a76ded29eb7c5875341531d192d037e49	results/eps00515_fullsimplex_k48_B8.json
exact	48	alpha=511/2000,eta=489/2000,full-simplex	even-B12	120	0.9663197028752116	5c2ba72e233af6324724bff5342376af87a5ea5b422637ebc58d4880618f52bb	results/eps0055_fullsimplex_k48_B12.json
exact	48	alpha=32/125,eta=61/250,full-simplex	even-B12	120	0.9664567456591445	595b883f8eebf8142790e7ce122479749224e70c3388376325900e985c98f349	results/eps006_fullsimplex_k48_B12.json
exact	48	alpha=513/2000,eta=487/2000,full-simplex	even-B12	120	0.9664853277774192	ac66c611b1bb7c4aa6d351291e9c6906c74ee05d4645c7b3ab0fc95c158b65c2	results/eps0065_fullsimplex_k48_B12.json
exact	48	alpha=521/2000,eta=491/2000,beta3+=889/5000	len(lambda)<=1,D6	16	0.8933002803104199	d0722e6c2fde00d0a578ef241dec08e19728026a9bc93ab3d87f8cd10b900d23	results/enlarged_k48_len1_D6.json
exact	48	alpha=521/2000,eta=491/2000,beta3+=889/5000	no-ones-D4	12	0.8711999305485281	b8affe8259473cb26f07dc1c788403ebbc74896a70ce99435103fa000e3807c3	results/enlarged_k48_noones_D4.json
