id	mechanism	parameters	basis	result	status	command_or_checker
BV-D5-e0075	direct-BV full simplex	k=48,A=1/4,e=3/400	complete symmetric polynomials D5 (19)	0.886223224479836193	heuristic eigensolve; exact matrix formula	python3 code/full_simplex_basis.py --degree 5 --mp-dps 80 --cache results/full-simplex-k48-d5.pkl
BV-D6-e0075	direct-BV full simplex	k=48,A=1/4,e=3/400	complete symmetric polynomials D6 (30)	0.907422113126813406	heuristic eigensolve; exact matrix formula	python3 code/full_simplex_basis.py --degree 6 --mp-build --mp-dps 60
BV-D8-e005	direct-BV full simplex	k=48,A=1/4,e=1/200	complete symmetric polynomials D8 (67)	0.938465708117737870	heuristic eigensolve; high-precision reconstructed formula	python3 code/full_simplex_basis.py --degree 8 --mp-build --mp-dps 60 --epsilon 1/200
BV-D10-e006	direct-BV full simplex	k=48,A=1/4,e=3/500	complete symmetric polynomials D10 (139)	0.956188249399690081	heuristic eigensolve; high-precision reconstructed formula	python3 code/full_simplex_basis.py --degree 10 --mp-build --mp-dps 60 --epsilon 3/500
BV-even-D12-e005	direct-BV full simplex	k=48,A=1/4,e=1/200	Polymath even signatures D12 (120)	0.966060807123682142	heuristic eigensolve; matrices exact Fraction	python3 code/even_signature_simplex.py --degree 12 --epsilon 1/200 --dps 70
HB-C10	direct-HB support	e=1/200,d=1/100,A=77747/300000,B=(3/20,3/20,97/625,...)	stratum-aligned D2 order12	0.8529866345313049	heuristic proxy; analytic support exact PASS	python3 verify_direct_hb_frontier.py
HB-C10-sumD8	direct-HB support	e=1/200,d=1/100,A=77747/300000,B=(3/20,3/20,97/625,...)	total-sum D8 order18	0.8388111541948651	heuristic proxy; analytic support exact PASS	python3 code/numerical_sum_basis.py --delta .01 --upper .26415666666666665 --jcut .25415666666666664 --bounds .15,.15,.1552,.1552,.1552,.1552,.1552,.1552,.1552,.1552,.1552,.1552,.1552,.1552,.1552,.1552 --degree 8 --order 18
HB-C12	direct-HB support	e=1/200,d=3/250,A=25849/100000,B=(3/20,3/20,403/2500,...)	stratum-aligned D2 order12	0.8339377781203415	heuristic proxy; analytic support exact PASS	python3 verify_direct_hb_frontier.py
HB-C14	direct-HB support	e=1/200,d=7/500,A=77347/300000,B=(3/20,383/2500,209/1250,...)	stratum-aligned D2 order12	0.8236724085633466	heuristic proxy; analytic support exact PASS	python3 verify_direct_hb_frontier.py
HB-C16	direct-HB support	e=1/200,d=2/125,A=77147/300000,B=(3/20,769/5000,849/5000,...)	stratum-aligned D2 order12	0.8180756302362501	heuristic proxy; analytic support exact PASS	python3 verify_direct_hb_frontier.py
HB-C20	direct-HB support	e=1/200,d=1/50,A=1279/5000,B=(3/20,19/125,43/250,...)	stratum-aligned D2 order12	0.8114239571124800	heuristic proxy; analytic support exact PASS	python3 verify_direct_hb_frontier.py
HB-C2005	direct-HB support	e=1/200,d=401/20000,A=1279/5000,B=(3/20,1521/10000,1721/10000,...)	stratum-aligned D2 order12	0.8114079884604999	heuristic proxy; analytic support exact PASS	python3 verify_direct_hb_frontier.py
HB-C24	direct-HB support	e=1/200,d=3/125,A=25449/100000,B=(3/20,188/1250,109/625,...)	stratum-aligned D2 order12	0.8057862748519076	heuristic proxy; analytic support exact PASS	python3 verify_direct_hb_frontier.py
HB-C28	direct-HB support	e=1/200,d=7/250,A=75947/300000,B=(3/20,3/20,221/1250,...)	stratum-aligned D2 order12	0.7995173581826416	heuristic proxy; analytic support exact PASS	python3 verify_direct_hb_frontier.py
HB-889-reference	direct-HB support	e=1/200,d=7/250,A=253/1000,B=(3/20,3/20,889/5000,...)	stratum-aligned D2 order12	0.7990050910211967	heuristic proxy; analytic support exact PASS	python3 code/numerical_piecewise_basis.py --delta .028 --upper .258 --jcut .248 --bounds .15,.15,.1778,.1778,.1778,.1778,.1778 --degree 2 --order 12
