id	timestamp	code_sha256	parameters	basis	precision	quotient	rigorous_status	wall_seconds	peak_memory_kb	notes
GREEN-V9-RLE9-STANDALONE-ADAPTER-REPAIRED-AUDIT	2026-09-03T14:11:00+02:00	ef26a71fee7ee60f1c3b9e6e0ea227649fe70c45ae5d8d47f5da8f597b4045c5	k=48;R<=9;Green-thin-adapter;74-pins;base4179;aggregator4762	Green-v9 standalone source replay adapter	static exact adapter tests;normal/-O isolated;no full replay	NA	PRE-CERTIFICATE ADAPTER AUDIT PASS;NO CERTIFICATE/QUOTIENT	0.108 normal;0.721 optimized	unknown	Report SHAd6dec172; independent test SHA057f61e4 passes6/6 both; production test72f4 passes3/3 both. Import read trace fully covered by74 pins including retained old assembler67c and nested live v8 producer36a8. Exact16-field Green audit schema rejects bool/float/range/reference/hash/rational/counter/flag mutations. Complete synthetic exact base certificate comparison passes; metadata/exact mutants fail; self/pin/certificate fail-fast precedes heavy stages.
GREEN-V9-RLE9-STANDALONE-ADAPTER-AUDIT-FAIL	2026-09-03T14:02:00+02:00	dace7747f0573134957c2f9a14a6c4cd957789d8538d46a5e86dddd3d52856ee	k=48;R<=9;thin-Green-adapter;73-final-pins	Green-v9 standalone replay adapter over frozen base4179	static/runtime read trace and malformed audit-wire counterexample	NA	PRE-CERTIFICATE AUDIT FAIL;NO FULL REPLAY/CERTIFICATE	under1	unknown	Failure report SHA717cb97f. Fresh import trace found sole repo read outside final PINS+self: required old fixed-v8 R<=9 assembler67c479, removed after bootstrap. adapt_b_audit accepts Boolean common_r=True, which inherited count1 equality accepts because True==1; it also lacks exact audit schema and no-reference/fixed-cache gates. Repair and fresh audit required; Green arithmetic/r9 result unaffected.
GREEN-V9-RLE9-ASSEMBLER-REPAIRED-HOSTILE-AUDIT	2026-09-03T13:56:00+02:00	4762573e5f699f2641bb0081f571a3c34f23b47d70386f49626f9af1eef2de29	k=48;total-large-count-R<=9;A-counts0..9;b-common-r0..9;r9-small-only;54-flat-pins	Green-v9 exact mixed shards over audited one-band base	Fraction exact wrapper algebra;recursive read tracing;normal/-O isolated	NA	PRE-CERTIFICATE ASSEMBLER AUDIT PASS;NO TARGET AGGREGATE/CERTIFICATE	0.590 normal;0.649 optimized	unknown	Repaired report SHAf4ca5a63; independent test SHAa657358d passes7/7 both; production3/3 both. Adds separately live-read fixed-v8 producer36a8 to flat closure; recursive Green-to-v8 checker read recorder found no repo read outside54 PINS. Exact R<=9 branch algebra, byte binding, count inventory, parser restoration, dependency TOCTOU and exclusive publication pass.
BV-D14-GRID38-CUTOFF-CROSS-R8-GREEN-V9-REPLAY	2026-09-03T13:53:00+02:00	ad38951dadecdb5a5c51d1221b0a078bc9f804e9c4ec8d434706fca55a11935a	k=48;delta=1/60;alpha1=103/400;alpha2=9500917/36000000;eta=8960917/36000000;common-r=8;Fscale=1e87;Hscale=1e38;referenceSHAffbeb7f3	strict exact D19 v2 inner crossed with naturally dilated D14 grid38 outer	cached fixed radial integers;Green-boundary fixed-denominator exact polygon moments;Fraction exact	NA	EXACT COMMON-r CROSS-ENGINE REPLAY PASS;CHECKER NORMAL/-O BYTE-IDENTICAL;NOT AN AGGREGATE QUOTIENT	523.222884	774244	Immutable Green result SHA16785c6ce6aec5c9f1a0338d9c7e5895151a27690a82c106d99549123df6f78c. Dedicated checker SHA7dbb3520 with fixed-v8 r8 reference SHAffbeb7f3 passed normal and -O/-B/-I distinct private caches; audit bytes identical SHA950f3899 and reference_exact_fields_bit_equal=true for exact scaled_b plus all theorem-relevant branch/kernel/family/geometry/candidate/scaling fields. Kernel9.981s,families94.808s,radial-and-Green418.266s; exact positive shard equals v8 (~9.627199691974900455e-35). Separate hostile result audit pending at ledger time.
BV-D14-GRID38-CUTOFF-CROSS-R7-GREEN-V9-REPLAY	2026-09-03T14:05:00+02:00	ad38951dadecdb5a5c51d1221b0a078bc9f804e9c4ec8d434706fca55a11935a	k=48;delta=1/60;alpha1=103/400;alpha2=9500917/36000000;eta=8960917/36000000;common-r=7;Fscale=1e87;Hscale=1e38;referenceSHA8636441a	strict exact D19 v2 inner crossed with naturally dilated D14 grid38 outer	cached fixed radial integers;Green-boundary fixed-denominator exact polygon moments;Fraction exact	NA	EXACT COMMON-r CROSS-ENGINE REPLAY PASS;CHECKER NORMAL/-O BYTE-IDENTICAL;NOT AN AGGREGATE QUOTIENT	589.914503	865900	Immutable Green result SHA0017a166241848c52aac82670acca64f046e7137f40a754939325189c48a075f. Dedicated checker SHA7dbb3520 with fixed-v8 r7 reference SHA8636441a passed normal and -O/-B/-I distinct private caches; audit bytes identical SHAddd7dcc7 and reference_exact_fields_bit_equal=true for exact scaled_b plus all theorem-relevant branch/kernel/family/geometry/candidate/scaling fields. Kernel8.217s,families86.774s,radial-and-Green494.762s; exact positive shard equals v8 (~3.906947768955346426e-33), numerator/denominator bits2372/2480. Separate hostile result audit pending at ledger time.
BV-D14-GRID38-CUTOFF-CROSS-R5-GREEN-V9	2026-09-03T14:18:00+02:00	ad38951dadecdb5a5c51d1221b0a078bc9f804e9c4ec8d434706fca55a11935a	k=48;delta=1/60;alpha1=103/400;alpha2=9500917/36000000;eta=8960917/36000000;common-r=5;Fscale=1e87;Hscale=1e38;reference=null	strict exact D19 v2 inner crossed with naturally dilated D14 grid38 outer	cached fixed radial integers;Green-boundary fixed-denominator exact polygon moments;Fraction exact	NA	EXACT COMMON-r SHARD PASS;CHECKER NORMAL/-O BYTE-IDENTICAL;NO SAME-r REFERENCE;NOT AN AGGREGATE QUOTIENT	702.083043	1021536	Immutable Green result SHAdce1830d13c076b0bed6a0bd2b5e2bba0591c86f9e78c2ecce1ca587bca85cda. Dedicated checker SHA7dbb3520 ran normal and -O/-B/-I in distinct private caches without a nonexistent reference; audit bytes identical SHA0ff0303c, reference fields exactly null, source closure/factor48 recombination/maxshift9 all passed. Kernel8.342s,families87.254s,radial-and-Green606.311s; exact positive shard ~5.262531203075235274e-31 with numerator/denominator bits2369/2470. Independent same-count cross-engine equality remains unavailable and is not claimed.
GREEN-V9-R9-CROSS-ENGINE-HOSTILE-RESULT-AUDIT	2026-09-03T13:49:00+02:00	0acdbce0b4fda10137ce7d07e96f9f1157fed5856701164d6d3222fc425e8303	k=48;common-r=9;H=5;GreenSHA=b6cb9eb5;v8refSHA=e9397f72	strict exact D19 v2 inner crossed with naturally dilated D14 grid38 outer	independent Fraction recombination and exact cross-engine field comparison;normal/-O isolated	NA	RESULT AUDIT PASS;SINGLE GREEN SHARD ONLY;NO AGGREGATE/CERTIFICATE	2.023 normal;2.116 optimized	unknown	Report SHAae7b284e. Green exact scalar and all mathematical/work fields equal audited fixed-v8 r9; independent 48*(sum high-sum low), H=5, six shifts,233384424 scalar products,31524 monomials,30 live source pins. Normal/-O audit SHA45705683 binds both byte hashes. Five target/reference mutations rejected and O_EXCL sentinel preserved.
GREEN-V9-RLE9-ASSEMBLER-HOSTILE-AUDIT-RETRACTED	2026-09-03T13:42:00+02:00	614d2212d057954a8aa226f0025f2e71e352ee5b0ede098aae400a66af33efa4	k=48;total-large-count-R<=9;A-counts0..9;b-common-r0..9;r9-small-only	Green-v9 exact mixed shards over audited one-band base	Fraction exact wrapper algebra;normal/-O isolated	NA	RETRACTED AUDIT VERDICT;TRANSITIVE SOURCE-CLOSURE OMISSION;NO CERTIFICATE	0.623 normal;1.113 optimized	unknown	Former report SHA5291a600 is superseded; current retained retraction file SHAe9167ab4. The 53-pin snapshot omitted fixed-v8 producer36a8 even though nested V8.audit live-read it outside V8.SOURCE_HASHES. Repaired snapshot4762573e has a separate fresh audit; no mathematics or target shard was invalidated by this closure-only defect.
FIXED-POLYGON-V8-R7-HOSTILE-RESULT-AUDIT	2026-09-03T13:36:00+02:00	29356873ea293cb2a639230781772696bf2400090ed748b0bbdda0f373dec988	k=48;common-r=7;H=7;all-four-branches;resultSHA8636441a	strict exact D19 v2 inner crossed with naturally dilated D14 grid38 outer	independent Fraction recombination;normal/-O isolated	NA	RESULT AUDIT PASS;SINGLE SHARD ONLY;NO AGGREGATE OR CERTIFICATE	2.277 normal;2.210 optimized	unknown	Report SHA2383a1f4. Independently parsed canonical branch rationals and verified exactly 48*(sum high-sum low)=scaled_b_shard>0; numerator/denominator bits2372/2480; 317128584 scalar products;42032 surviving monomials; H=14-r=7; 29 live source pins. Fresh normal/-O checker outputs byte-identical SHA951414e9. Five mutations rejected, existing output preserved by O_EXCL, and result/start/end byte hash remained SHA8636441a.
GREEN-POLYGON-V9-REPAIRED-INDEPENDENT-STATIC-AUDIT	2026-09-03T13:31:13+02:00	5fb4529579f701390827cfd20d5d045e46debc683510015dd6d54b403f0fcd36	core019fecc0;runnerad38951d;checker7dbb3520;804 target rows;438 unique;711 nonempty	Green boundary polygon moment backend and recursively pinned D19/D14 cross runner	Fraction exact closed forms,integer denominator divisibility,normal/-O isolated	NA	INDEPENDENT STATIC/CROSS AUDIT PASS;NO GREEN SHARD OR QUOTIENT	0.88 normal;0.72 optimized	36636	Audit result SHA766178a9. Independent tests5/5 both modes; production core3/3 both; checker mutation4/4 both. Regressions reject zero-area noncollinear and positive-area same-turn nonconvex walks; all711 nonempty target polygons pass independent global half-plane checks. Runtime RADIAL substitution/source closure and exact five-field checker normalization pass. Result-level Green-v9 equality to v8 remains pending a published same-count Green shard.
